Foldername,sentenceID,sentence,citations,citation_titles,citation_authors,citation_abstract,PaperID,ParagraphID,Bibliography used
usable_dataset/2004.02605,urn:uuid:12e606e4-fb5d-3102-84f5-ac1c42b95b30,"estimate directly that in the US, more than 90% of infections have been undocumented by tests using Chinese data and initial reports in the US.",['perkins2020estimating'],['Estimating unobserved SARS-CoV-2 infections in the United States'],"[[Person('Perkins, Alex'), Person('Cavany, Sean M'), Person('Moore, Sean M'), Person('Oidtman, Rachel J'), Person('Lerch, Anita'), Person('Poterek, Marya')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:54d38bd7-1afd-3cc6-8923-fbde661717d9,model the effect of transmission between susceptible and infectious individuals using a microsimulation model built on synthetic populations designed to mimic the populations of the United Kingdom and United States.,['ferguson2020impact'],['Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand'],"[[Person('Ferguson, Neil M'), Person('Laydon, Daniel'), Person('Nedjati-Gilani, Gemma'), Person('Imai, Natsuko'), Person('Ainslie, Kylie'), Person('Baguelin, Marc'), Person('Bhatia, Sangeeta'), Person('Boonyasiri, Adhiratha'), Person(""Cucunub{\\'a}, Zulma""), Person('Cuomo-Dannenburg, Gina'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:f3f8e9e0-ac1c-39cd-b829-cb18b64275ea,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:6be30750-b081-3e2f-935e-089c6fc33fcc,The {CHIME app} \cite{weissman2020locally} is an online tool created by researchers at the University of Pennsylvania to help hospitals anticipate the number of incoming COVID-19 patients and their needs.,['weissman2020locally'],['Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic'],"[[Person('Weissman, Gary E'), Person('Crane-Droesch, Andrew'), Person('Chivers, Corey'), Person('Luong, ThaiBinh'), Person('Hanish, Asaf'), Person('Levy, Michael Z'), Person('Lubken, Jason'), Person('Becker, Michael'), Person('Draugelis, Michael E'), Person('Anesi, George L'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:d451a6f5-2b51-34d0-9132-a99b97989891,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:d47714dc-b1f6-3f42-8a40-df9882c2b893,The model given in  has a goal similar to CHIME (hospital use planning).,['murrayteam2020forecast'],"['Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator days and deaths by US state in the next 4 months']","[[Person('Murray, C.J.L.')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:11637c79-d311-3c6a-81fa-798769e888d9,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:2836a727-548c-3f95-a36f-21446534c8ce,The recent work of  takes a similar approach to ours to evaluate the effect of social distancing orders across countries in Europe.,['flaxman2020estimating'],['Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries'],"[[Person('Flaxman, Seth'), Person('Mishra, Swapnil'), Person('Gandy, Axel'), Person('Unwin, H'), Person('Coupland, H'), Person('Mellan, T'), Person('Zhu, H'), Person('Berah, T'), Person('Eaton, J'), Person('Perez Guzman, P'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:cdd80a9e-e0d4-36e5-b56c-c3037030b8f1,also evaluates the effect of mitigation efforts.,['lewnard2020incidence'],"['Incidence, clinical outcomes, and transmission dynamics of hospitalized 2019 coronavirus disease among 9,596,321 individuals residing in California and Washington, United States: a prospective cohort study']","[[Person('Lewnard, Joseph A'), Person('Liu, Vincent X'), Person('Jackson, Michael L'), Person('Schmidt, Mark A'), Person('Jewell, Britta L'), Person('Flores, Jean P'), Person('Jentz, Chris'), Person('Northrup, Graham R'), Person('Mahmud, Ayesha'), Person('Reingold, Arthur L'), Person('Petersen, Maya'), Person('Jewell, Nicholas P'), Person('Young, Scott'), Person('Bellows, Jim')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:f627ad70-fe07-31c4-80f7-e4d12647390e,"For example,  propose that in the first month of the epidemic in China, 82-90 percent of infections were undocumented.",['li2020substantial'],['Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2)'],[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:1782a4d0-9f71-398b-b3c0-a92677bfca6c,"use a SEIR model, an epidemiological ODE model, and calibrate their model to the time series of reported deaths and reported infections.",['riou2020adjusted'],"['Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020']",[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:12e606e4-fb5d-3102-84f5-ac1c42b95b30,"estimate directly that in the US, more than 90% of infections have been undocumented by tests using Chinese data and initial reports in the US.",['perkins2020estimating'],['Estimating unobserved SARS-CoV-2 infections in the United States'],[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:54d38bd7-1afd-3cc6-8923-fbde661717d9,model the effect of transmission between susceptible and infectious individuals using a microsimulation model built on synthetic populations designed to mimic the populations of the United Kingdom and United States.,['ferguson2020impact'],['Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand'],[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:f3f8e9e0-ac1c-39cd-b829-cb18b64275ea,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:6be30750-b081-3e2f-935e-089c6fc33fcc,The {CHIME app} \cite{weissman2020locally} is an online tool created by researchers at the University of Pennsylvania to help hospitals anticipate the number of incoming COVID-19 patients and their needs.,['weissman2020locally'],['Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic'],[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:d451a6f5-2b51-34d0-9132-a99b97989891,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:d47714dc-b1f6-3f42-8a40-df9882c2b893,The model given in  has a goal similar to CHIME (hospital use planning).,['murrayteam2020forecast'],"['Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator days and deaths by US state in the next 4 months']",[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:11637c79-d311-3c6a-81fa-798769e888d9,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:2836a727-548c-3f95-a36f-21446534c8ce,The recent work of  takes a similar approach to ours to evaluate the effect of social distancing orders across countries in Europe.,['flaxman2020estimating'],['Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries'],[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:cdd80a9e-e0d4-36e5-b56c-c3037030b8f1,also evaluates the effect of mitigation efforts.,['lewnard2020incidence'],"['Incidence, clinical outcomes, and transmission dynamics of hospitalized 2019 coronavirus disease among 9,596,321 individuals residing in California and Washington, United States: a prospective cohort study']",[[]],[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:f627ad70-fe07-31c4-80f7-e4d12647390e,"For example,  propose that in the first month of the epidemic in China, 82-90 percent of infections were undocumented.",['li2020substantial'],['Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2)'],"[[Person('Li, Ruiyun'), Person('Pei, Sen'), Person('Chen, Bin'), Person('Song, Yimeng'), Person('Zhang, Tao'), Person('Yang, Wan'), Person('Shaman, Jeffrey')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:1782a4d0-9f71-398b-b3c0-a92677bfca6c,"use a SEIR model, an epidemiological ODE model, and calibrate their model to the time series of reported deaths and reported infections.",['riou2020adjusted'],"['Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020']","[[Person('Riou, Julien'), Person('Hauser, Anthony'), Person('Counotte, Michel J'), Person('Althaus, Christian L')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:12e606e4-fb5d-3102-84f5-ac1c42b95b30,"estimate directly that in the US, more than 90% of infections have been undocumented by tests using Chinese data and initial reports in the US.",['perkins2020estimating'],['Estimating unobserved SARS-CoV-2 infections in the United States'],"[[Person('Perkins, Alex'), Person('Cavany, Sean M'), Person('Moore, Sean M'), Person('Oidtman, Rachel J'), Person('Lerch, Anita'), Person('Poterek, Marya')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:54d38bd7-1afd-3cc6-8923-fbde661717d9,model the effect of transmission between susceptible and infectious individuals using a microsimulation model built on synthetic populations designed to mimic the populations of the United Kingdom and United States.,['ferguson2020impact'],['Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand'],"[[Person('Ferguson, Neil M'), Person('Laydon, Daniel'), Person('Nedjati-Gilani, Gemma'), Person('Imai, Natsuko'), Person('Ainslie, Kylie'), Person('Baguelin, Marc'), Person('Bhatia, Sangeeta'), Person('Boonyasiri, Adhiratha'), Person(""Cucunub{\\'a}, Zulma""), Person('Cuomo-Dannenburg, Gina'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:f3f8e9e0-ac1c-39cd-b829-cb18b64275ea,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:6be30750-b081-3e2f-935e-089c6fc33fcc,The {CHIME app} \cite{weissman2020locally} is an online tool created by researchers at the University of Pennsylvania to help hospitals anticipate the number of incoming COVID-19 patients and their needs.,['weissman2020locally'],['Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic'],"[[Person('Weissman, Gary E'), Person('Crane-Droesch, Andrew'), Person('Chivers, Corey'), Person('Luong, ThaiBinh'), Person('Hanish, Asaf'), Person('Levy, Michael Z'), Person('Lubken, Jason'), Person('Becker, Michael'), Person('Draugelis, Michael E'), Person('Anesi, George L'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:d451a6f5-2b51-34d0-9132-a99b97989891,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:d47714dc-b1f6-3f42-8a40-df9882c2b893,The model given in  has a goal similar to CHIME (hospital use planning).,['murrayteam2020forecast'],"['Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator days and deaths by US state in the next 4 months']","[[Person('Murray, C.J.L.')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:11637c79-d311-3c6a-81fa-798769e888d9,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:2836a727-548c-3f95-a36f-21446534c8ce,The recent work of  takes a similar approach to ours to evaluate the effect of social distancing orders across countries in Europe.,['flaxman2020estimating'],['Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries'],"[[Person('Flaxman, Seth'), Person('Mishra, Swapnil'), Person('Gandy, Axel'), Person('Unwin, H'), Person('Coupland, H'), Person('Mellan, T'), Person('Zhu, H'), Person('Berah, T'), Person('Eaton, J'), Person('Perez Guzman, P'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:cdd80a9e-e0d4-36e5-b56c-c3037030b8f1,also evaluates the effect of mitigation efforts.,['lewnard2020incidence'],"['Incidence, clinical outcomes, and transmission dynamics of hospitalized 2019 coronavirus disease among 9,596,321 individuals residing in California and Washington, United States: a prospective cohort study']","[[Person('Lewnard, Joseph A'), Person('Liu, Vincent X'), Person('Jackson, Michael L'), Person('Schmidt, Mark A'), Person('Jewell, Britta L'), Person('Flores, Jean P'), Person('Jentz, Chris'), Person('Northrup, Graham R'), Person('Mahmud, Ayesha'), Person('Reingold, Arthur L'), Person('Petersen, Maya'), Person('Jewell, Nicholas P'), Person('Young, Scott'), Person('Bellows, Jim')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:f627ad70-fe07-31c4-80f7-e4d12647390e,"For example,  propose that in the first month of the epidemic in China, 82-90 percent of infections were undocumented.",['li2020substantial'],['Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2)'],"[[Person('Li, Ruiyun'), Person('Pei, Sen'), Person('Chen, Bin'), Person('Song, Yimeng'), Person('Zhang, Tao'), Person('Yang, Wan'), Person('Shaman, Jeffrey')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:1782a4d0-9f71-398b-b3c0-a92677bfca6c,"use a SEIR model, an epidemiological ODE model, and calibrate their model to the time series of reported deaths and reported infections.",['riou2020adjusted'],"['Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020']","[[Person('Riou, Julien'), Person('Hauser, Anthony'), Person('Counotte, Michel J'), Person('Althaus, Christian L')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:12e606e4-fb5d-3102-84f5-ac1c42b95b30,"estimate directly that in the US, more than 90% of infections have been undocumented by tests using Chinese data and initial reports in the US.",['perkins2020estimating'],['Estimating unobserved SARS-CoV-2 infections in the United States'],"[[Person('Perkins, Alex'), Person('Cavany, Sean M'), Person('Moore, Sean M'), Person('Oidtman, Rachel J'), Person('Lerch, Anita'), Person('Poterek, Marya')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:54d38bd7-1afd-3cc6-8923-fbde661717d9,model the effect of transmission between susceptible and infectious individuals using a microsimulation model built on synthetic populations designed to mimic the populations of the United Kingdom and United States.,['ferguson2020impact'],['Impact of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demand'],"[[Person('Ferguson, Neil M'), Person('Laydon, Daniel'), Person('Nedjati-Gilani, Gemma'), Person('Imai, Natsuko'), Person('Ainslie, Kylie'), Person('Baguelin, Marc'), Person('Bhatia, Sangeeta'), Person('Boonyasiri, Adhiratha'), Person(""Cucunub{\\'a}, Zulma""), Person('Cuomo-Dannenburg, Gina'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:f3f8e9e0-ac1c-39cd-b829-cb18b64275ea,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:6be30750-b081-3e2f-935e-089c6fc33fcc,The {CHIME app} \cite{weissman2020locally} is an online tool created by researchers at the University of Pennsylvania to help hospitals anticipate the number of incoming COVID-19 patients and their needs.,['weissman2020locally'],['Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic'],"[[Person('Weissman, Gary E'), Person('Crane-Droesch, Andrew'), Person('Chivers, Corey'), Person('Luong, ThaiBinh'), Person('Hanish, Asaf'), Person('Levy, Michael Z'), Person('Lubken, Jason'), Person('Becker, Michael'), Person('Draugelis, Michael E'), Person('Anesi, George L'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:d451a6f5-2b51-34d0-9132-a99b97989891,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:d47714dc-b1f6-3f42-8a40-df9882c2b893,The model given in  has a goal similar to CHIME (hospital use planning).,['murrayteam2020forecast'],"['Forecasting COVID-19 impact on hospital bed-days, ICU-days, ventilator days and deaths by US state in the next 4 months']","[[Person('Murray, C.J.L.')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:11637c79-d311-3c6a-81fa-798769e888d9,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:2836a727-548c-3f95-a36f-21446534c8ce,The recent work of  takes a similar approach to ours to evaluate the effect of social distancing orders across countries in Europe.,['flaxman2020estimating'],['Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries'],"[[Person('Flaxman, Seth'), Person('Mishra, Swapnil'), Person('Gandy, Axel'), Person('Unwin, H'), Person('Coupland, H'), Person('Mellan, T'), Person('Zhu, H'), Person('Berah, T'), Person('Eaton, J'), Person('Perez Guzman, P'), Person('others')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:cdd80a9e-e0d4-36e5-b56c-c3037030b8f1,also evaluates the effect of mitigation efforts.,['lewnard2020incidence'],"['Incidence, clinical outcomes, and transmission dynamics of hospitalized 2019 coronavirus disease among 9,596,321 individuals residing in California and Washington, United States: a prospective cohort study']","[[Person('Lewnard, Joseph A'), Person('Liu, Vincent X'), Person('Jackson, Michael L'), Person('Schmidt, Mark A'), Person('Jewell, Britta L'), Person('Flores, Jean P'), Person('Jentz, Chris'), Person('Northrup, Graham R'), Person('Mahmud, Ayesha'), Person('Reingold, Arthur L'), Person('Petersen, Maya'), Person('Jewell, Nicholas P'), Person('Young, Scott'), Person('Bellows, Jim')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:0b6cb15f-a0be-3acc-98a2-b681c913c246,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:f627ad70-fe07-31c4-80f7-e4d12647390e,"For example,  propose that in the first month of the epidemic in China, 82-90 percent of infections were undocumented.",['li2020substantial'],['Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2)'],"[[Person('Li, Ruiyun'), Person('Pei, Sen'), Person('Chen, Bin'), Person('Song, Yimeng'), Person('Zhang, Tao'), Person('Yang, Wan'), Person('Shaman, Jeffrey')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
usable_dataset/2004.02605,urn:uuid:1782a4d0-9f71-398b-b3c0-a92677bfca6c,"use a SEIR model, an epidemiological ODE model, and calibrate their model to the time series of reported deaths and reported infections.",['riou2020adjusted'],"['Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020']","[[Person('Riou, Julien'), Person('Hauser, Anthony'), Person('Counotte, Michel J'), Person('Althaus, Christian L')]]",[None],urn:uuid:413cd28f-daa0-3537-873b-f9cca9f289c3,urn:uuid:20eb5de6-2df4-323c-a7d0-f910d0c243f7,usable_dataset/2004.02605/covid.bib
